"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Kestutis","","","","","","< 200","658","313"
"Ketil","","","","","176","2 619","221","2 516"
"Kevin","","","","","181","2 492","145","4 174"
"Khaled","","","","","","< 200","530","475"
"Khalid","","","","","502","310","440","650"
"Khalil","","","","","","< 200","774","236"
"Kian","","","","","","< 200","705","278"
"Kim","","","","43","84","7 780","87","8 043"
"Kim-Andre","","","","","478","334","634","337"
"Kjartan","","","","","274","1 263","329","1 216"
"Kjell","","","","","5","31 552","6","25 989"
"Kjetil","","","","","54","10 452","55","10 302"
"Klaus","","","","","318","871","399","789"
"Knud","9","12","","","586","216","","< 200"
"Knut","37","","27","","8","28 268","9","24 120"
"Kolbjørn","","","","","256","1 367","365","960"
"Konrad","","","","","329","822","316","1 345"
"Kornelius","","","","","","< 200","665","309"
"Kristen","","","","","302","997","409","745"
"Krister","","","","","343","720","406","770"
"Kristian","","","12","13","33","14 913","27","16 404"
"Kristoffer","","","","16","73","8 611","57","10 101"
"Krystian","","","","","","< 200","559","422"
"Krzysztof","","","","","593","208","205","2 839"
"Kurt","","","","","140","3 801","173","3 434"
"Kyrre","","","","","309","942","372","922"
"Kåre","","","","","40","12 769","79","8 464"
"Lars","4","5","20","14","6","30 188","5","29 802"
"Lars-Erik","","","","","399","495","516","493"
"Lasse","","","","","114","5 206","120","5 469"
"Laurits","","","","","530","278","613","355"
"Lauritz","","","","","483","326","573","406"
"Lavrans","","","","","","< 200","596","371"
"Leander","","","","","477","336","243","2 190"
"Leif","","","26","","30","16 075","45","12 200"
"Leiv","","","","","243","1 493","344","1 130"
"Lennart","","","","","410","474","501","510"
"Leo","","","","","386","539","229","2 333"
"Leon","","","","","336","759","157","3 823"
"Leonard","","","","","539","266","431","674"
"Leonardo","","","","","","< 200","765","240"
"Leszek","","","","","","< 200","562","418"
"Levi","","","","","548","257","379","886"
"Liam","","","","","","< 200","179","3 305"
"Liban","","","","","","< 200","799","226"
"Linas","","","","","","< 200","688","288"
"Linus","","","","","602","202","277","1 729"
"Loke","","","","","","< 200","512","497"
"Lorentz","","","","","550","256","772","237"
"Louis","","","","","570","232","584","380"
"Luca","","","","","","< 200","535","470"
"Lucas","","","","","432","417","147","4 013"
"Ludvig","","","","","316","886","234","2 294"
"Ludvik","","","","","413","469","327","1 226"
"Luis","","","","","493","317","448","619"
"Luka","","","","","","< 200","608","357"
"Lukas","","","","","365","614","172","3 568"
"Lukasz","","","","","","< 200","264","1 853"
"Lyder","","","","","","< 200","739","253"
"Maciej","","","","","","< 200","355","1 021"
"Mads","","","","","146","3 548","143","4 317"
"Magnar","","","","","166","2 978","227","2 416"
"Magne","","","","","59","10 128","84","8 267"
"Magnus","","","39","11","42","12 578","25","16 531"
"Mahad","","","","","","< 200","760","242"
"Mahamed","","","","","","< 200","586","379"
"Mahdi","","","","","","< 200","750","247"
"Mahmoud","","","","","","< 200","436","656"
"Maksymilian","","","","","","< 200","840","207"
"Malik","","","","","","< 200","845","205"
"Malvin","","","","","376","579","519","490"
"Mantas","","","","","","< 200","548","443"
"Manuel","","","","","","< 200","604","360"
"Marc","","","","","","< 200","781","234"
"Marcel","","","","","","< 200","521","486"
"Marcin","","","","","","< 200","242","2 219"
"Marco","","","","","491","320","424","682"
"Marcus","","","","","157","3 330","119","5 560"
"Marek","","","","","","< 200","278","1 712"
"Marian","","","","","","< 200","563","418"
"Mario","","","","","509","301","467","579"
"Marius","","","","5","39","13 167","26","16 470"
"Mariusz","","","","","","< 200","290","1 593"
"Mark","","","","","452","385","411","735"
"Marko","","","","","","< 200","554","428"
"Markus","","","","30","119","4 947","89","7 904"
"Martin","","","28","1","21","18 455","13","21 702"
"Martinius","","","","","","< 200","784","232"
"Martinus","","","","","542","263","590","376"
"Martynas","","","","","","< 200","806","221"
"Marvin","","","","","575","229","686","289"
"Matas","","","","","","< 200","800","226"
"Mateo","","","","","","< 200","607","358"
"Mateusz","","","","","","< 200","353","1 032"
"Matheo","","","","","","< 200","244","2 178"
"Matheus","","","","","","< 200","773","237"
"Mathias","","","","25","95","6 564","48","11 488"
"Mathis","","","","","570","232","759","243"
"Matias","","","","","323","845","312","1 370"
"Mats","","","","32","108","5 737","101","6 981"
"Matteo","","","","","","< 200","666","308"
"Matthew","","","","","","< 200","574","404"
"Matthias","","","","","","< 200","697","284"
"Mattias","","","","","504","305","529","476"
"Mattis","","","","","425","434","403","774"
"Max","","","","","378","565","257","2 039"
"Maximilian","","","","","","< 200","527","477"
"Mehdi","","","","","","< 200","674","304"
"Mehmet","","","","","435","410","504","508"
"Melvin","","","","","","< 200","614","355"
"Michael","","","","","149","3 498","131","4 893"
"Michal","","","","","","< 200","261","1 931"
"Michel","27","32","","","","< 200","","< 200"
"Miguel","","","","","","< 200","656","317"
"Mika","","","","","","< 200","723","267"
"Mikael","","","","","210","1 909","206","2 836"
"Mikal","","","","","321","851","374","911"
"Mike","","","","","","< 200","746","250"
"Mikkel","","","","","236","1 534","164","3 675"
"Mikolaj","","","","","","< 200","775","236"
"Milan","","","","","","< 200","462","586"
"Milian","","","","","","< 200","543","452"
"Mindaugas","","","","","","< 200","442","644"
"Minh","","","","","559","249","718","270"
"Mio","","","","","","< 200","524","480"
"Miroslav","","","","","","< 200","821","214"
"Miroslaw","","","","","","< 200","402","777"
"Mohamad","","","","","","< 200","302","1 445"
"Mohamed","","","","","244","1 486","174","3 413"
"Mohammad","","","","","170","2 880","127","5 032"
"Mohammed","","","","","268","1 283","204","2 845"
"Mons","21","35","","","461","363","569","409"
"Morgan","","","","","382","557","430","676"
"Morten","43","","","29","16","22 128","12","21 860"
"Mostafa","","","","","","< 200","691","287"
"Muhammad","","","","","360","637","260","1 943"
"Muhammed","","","","","","< 200","595","372"
"Mustafa","","","","","365","614","331","1 211"
"Narve","","","","","504","305","700","282"
"Nathan","","","","","","< 200","716","272"
"Nathaniel","","","","","","< 200","385","843"
"Nerijus","","","","","","< 200","626","344"
"Nicholas","","","","","350","690","322","1 292"
"Nicklas","","","","","442","401","390","831"
"Niclas","","","","","497","314","537","464"
"Nicolai","","","","","225","1 695","207","2 826"
"Nicolas","","","","","441","402","392","828"
"Nicolay","","","","","375","583","387","838"
"Niels","6","6","","","371","605","452","611"
"Niklas","","","","","279","1 204","247","2 164"
"Nikola","","","","","","< 200","675","304"
"Nikolai","","","","","188","2 314","146","4 074"
"Nikolas","","","","","596","207","515","494"
"Nikolay","","","","","","< 200","635","336"
"Nils","31","22","13","","34","14 558","43","12 582"
"Njål","","","","","368","613","454","607"
"Noa","","","","","","< 200","646","322"
"Noah","","","","","322","848","125","5 226"
"Noel","","","","","","< 200","659","313"
"Noralf","","","","","596","207","","< 200"
"Norbert","","","","","","< 200","727","263"
"Normann","","","","","443","400","763","241"
"Norvald","","","","","339","750","489","539"
"Odd","","","","","11","24 444","20","18 988"
"Oddbjørn","","","","","173","2 776","224","2 477"
"Oddgeir","","","","","337","755","416","717"
"Oddleif","","","","","537","270","830","210"
"Oddmund","","","","","219","1 756","324","1 275"
"Oddvar","","","","","104","5 985","138","4 544"
"Oddvin","","","","","423","436","620","349"
"Odin","","","","","283","1 184","187","3 039"
"Odvar","","","","","565","237","","< 200"
"Ola","","","45","","72","9 177","67","9 341"
"Olaf","","","11","","167","2 949","252","2 104"
"Olai","","","","","575","229","393","824"
"Olav","","","3","","26","17 039","33","14 847"
"Ole","1","1","2","7","4","32 911","4","30 984"
"Ole-Christian","","","","","562","248","766","240"
"Ole-Jørgen","","","","","590","211","846","204"
"Ole-Kristian","","","","","474","341","627","343"
"Ole-Martin","","","","","431","421","550","436"
"Ole-Petter","","","","","570","232","776","236"
"Oliver","","","","","211","1 895","100","7 033"
"Olivier","","","","","","< 200","788","231"
"Oluf","","","","","587","214","","< 200"
"Olve","","","","","513","298","506","505"
"Omar","","","","","347","706","289","1 624"
"Omer","","","","","","< 200","847","204"
"Omid","","","","","","< 200","855","203"
"Oscar","","","","","240","1 506","170","3 596"
"Oskar","","","25","","178","2 547","137","4 751"
"Osman","","","","","483","326","484","549"
"Osvald","","","","","407","486","729","262"
"Ottar","","","","","190","2 276","288","1 632"
"Otto","","","","","189","2 282","272","1 763"
"Ove","","","","","96","6 527","115","5 841"
"Paal","","","","","305","969","369","938"
"Patrick","","","","","194","2 182","186","3 058"
"Patrik","","","","","414","463","407","757"
"Patryk","","","","","","< 200","482","552"
"Paul","","","43","","115","5 153","139","4 506"
"Paulius","","","","","","< 200","685","290"
"Pavel","","","","","","< 200","736","257"
"Pawel","","","","","","< 200","233","2 299"
"Peder","2","3","17","","133","3 986","153","3 858"
"Pedro","","","","","","< 200","642","326"
"Pelle","","","","","","< 200","778","235"
"Per","","","50","","2","42 615","3","36 774"
"Per-Arne","","","","","512","299","698","283"
"Per-Erik","","","","","580","225","838","208"
"Peter","","31","","","142","3 727","136","4 776"
"Petter","","29","46","35","60","9 935","56","10 272"
"Philip","","","","","252","1 396","199","2 904"
"Phillip","","","","","519","290","394","820"
"Piotr","","","","","582","223","191","3 000"
"Poul","35","","","","","< 200","","< 200"
"Preben","","","","","206","1 987","249","2 140"
"Przemyslaw","","","","","","< 200","412","733"
"Pål","","","","","68","9 405","74","9 139"
"Radoslaw","","","","","","< 200","505","508"
"Rafael","","","","","","< 200","588","377"
"Rafal","","","","","","< 200","315","1 348"
"Ragnar","","","","","110","5 661","142","4 332"
"Ragnvald","","","49","","315","887","492","534"
"Rainer","","","","","","< 200","825","213"
"Ralf","","","","","","< 200","841","207"
"Ramunas","","","","","","< 200","789","231"
"Rasmus","17","20","","","263","1 318","285","1 651"
"Ravn","","","","","","< 200","817","217"
"Rayan","","","","","","< 200","748","249"
"Raymond","","","","","163","3 023","193","2 979"
"Reidar","","","23","","77","8 226","116","5 777"
"Reinert","","","","","593","208","","< 200"
"Remi","","","","","251","1 409","300","1 468"
"Remy","","","","","459","366","579","394"
"Rene","","","","","341","727","384","850"
"Reza","","","","","","< 200","678","303"
"Ricardo","","","","","","< 200","730","261"
"Richard","","","","","168","2 927","182","3 128"
"Rikard","","","","","399","495","502","509"
"Rino","","","","","475","339","621","349"
"Roald","","","","","143","3 719","194","2 955"
"Roar","","","","","87","7 461","106","6 791"
"Robert","","","","","93","6 714","83","8 275"
"Robertas","","","","","","< 200","848","204"
"Roberto","","","","","","< 200","802","223"
"Robin","","","","40","132","4 043","128","4 974"
"Roger","","","","","71","9 202","75","8 791"
"Roland","","","","","","< 200","767","239"
"Rolandas","","","","","","< 200","751","247"
"Rolf","","","24","","29","16 398","44","12 524"
"Rolv","","","","","348","697","499","516"
"Roman","","","","","","< 200","401","778"
"Ronald","","","","","292","1 113","359","1 010"
"Ronnie","","","","","487","323","625","346"
"Ronny","","","","","107","5 790","117","5 674"
"Roy","","","","","82","7 931","94","7 359"
"Ruben","","","","","175","2 622","181","3 150"
"Rudi","","","","","397","504","494","525"
"Rudolf","","","","","421","444","661","311"
"Runar","","","","","155","3 391","176","3 399"
"Rune","","","","","20","19 466","21","18 922"
"Ryan","","","","","","< 200","709","277"
"Ryszard","","","","","","< 200","547","445"
"Said","","","","","447","396","428","679"
"Salah","","","","","","< 200","822","214"
"Salman","","","","","","< 200","815","218"
"Sam","","","","","602","202","531","475"
"Sami","","","","","","< 200","592","373"
"Samir","","","","","518","291","520","488"
"Samson","","","","","","< 200","720","268"
"Samuel","","","","","340","732","220","2 530"
"Sander","","","","38","118","5 053","73","9 140"
"Saulius","","","","","","< 200","618","350"
"Scott","","","","","515","297","471","570"
"Sean","","","","","531","277","495","524"
"Sebastian","","","","41","127","4 317","65","9 359"
"Severin","","","","","522","286","589","377"
"Seyed","","","","","","< 200","819","216"
"Sigbjørn","","","","","200","2 024","263","1 901"
"Sigfred","","","","","482","330","785","232"
"Sigmund","","","","","144","3 644","196","2 935"
"Sigurd","","","14","","98","6 485","98","7 249"
"Sigvald","","","","","437","407","757","244"
"Sigvart","","","","","559","249","831","210"
"Sigve","","","","","266","1 297","286","1 641"
"Silas","","","","","","< 200","667","308"
"Simen","","","","17","88","7 412","77","8 642"
"Simon","","","","46","141","3 791","121","5 421"
"Sindre","","","","24","99","6 393","92","7 611"
"Siur","43","","","","","< 200","","< 200"
"Sivert","43","45","","","211","1 895","203","2 846"
"Sjur","","","","","278","1 213","320","1 304"
"Skjalg","","","","","531","277","710","277"
"Slawomir","","","","","","< 200","368","940"
"Snorre","","","","","246","1 450","281","1 698"
"Solomon","","","","","","< 200","809","220"
"Sondre","","","","18","94","6 566","68","9 221"
"Stanislaw","","","","","","< 200","432","671"
"Stefan","","","","","258","1 363","251","2 110"
"Steffan","","","","","","< 200","856","203"
"Steffen","","","","","145","3 591","159","3 793"
"Stein","","","","","56","10 397","61","9 669"
"Steinar","","","","","45","12 165","51","10 997"
"Sten","","","","","223","1 708","293","1 571"
"Stephan","","","","","427","429","509","501"
"Stephen","","","","","418","448","469","574"
"Steve","","","","","460","365","585","380"
"Steven","","","","","435","410","470","574"
"Stian","","","","9","32","15 058","31","15 304"
"Stig","","","","","65","9 660","66","9 359"
"Storm","","","","","","< 200","305","1 403"
"Sture","","","","","426","433","576","401"
"Sturla","","","","","354","657","423","686"
"Ståle","","","","","139","3 811","165","3 669"
"Svein","","","","","9","27 289","8","24 195"
"Svein-Erik","","","","","496","315","692","287"
"Sveinung","","","","","217","1 791","283","1 689"
"Sven","","","","","129","4 230","150","3 919"
"Svend","24","25","","","298","1 066","380","885"
"Svenn","","","","","273","1 268","343","1 135"
"Sverre","","","9","","58","10 142","76","8 657"
"Syed","","","","","478","334","503","509"
"Sylwester","","","","","","< 200","693","287"
"Syver","","","","","453","383","415","723"
"Szymon","","","","","","< 200","508","502"
"Sølve","","","","","437","407","493","534"
"Søren","27","26","","","403","493","534","473"
"Tadas","","","","","","< 200","721","268"
"Tadeusz","","","","","","< 200","622","349"
"Tage","","","","","391","523","419","708"
"Tarald","","","","","517","294","655","318"
"Tarjei","","","","","334","780","362","988"
"Ted","","","","","593","208","758","244"
"Tellef","","","","","","< 200","807","221"
"Teo","","","","","","< 200","653","319"
"Teodor","","","","","448","394","321","1 298"
"Terje","","","","","14","22 475","18","20 660"
"Thanh","","","","","499","313","644","324"
"Theo","","","","","546","258","228","2 349"
"Theodor","","","","","310","941","169","3 599"
"Thomas","33","","","4","15","22 247","7","24 272"
"Thor","47","","","","76","8 264","93","7 380"
"Thoralf","","","","","544","260","","< 200"
"Thorbjørn","","","","","221","1 725","308","1 383"
"Thore","24","38","","","249","1 426","326","1 245"
"Thorleif","","","","","284","1 183","420","700"
"Thormod","","","","","557","250","","< 200"
"Thorstein","","","","","392","521","541","453"
"Thorvald","","","","","415","457","553","429"
"Tim","","","","","313","900","318","1 327"
"Timothy","","","","","","< 200","735","259"
"Tobias","","","","42","124","4 818","71","9 177"
"Tom","","","","","31","15 643","32","15 059"
"Tomas","","","","","203","2 015","185","3 076"
"Tomasz","","","","","","< 200","208","2 793"
"Tom-Erik","","","","","508","302","670","307"
"Tommy","","","","","70","9 218","70","9 208"
"Toni","","","","","","< 200","835","209"
"Tonny","","","","","501","311","679","300"
"Tony","","","","","233","1 586","275","1 747"
"Tor","","","","","12","22 979","14","21 227"
"Toralf","","","","","338","752","481","555"
"Tor-Arne","","","","","562","248","749","248"
"Torben","","","","","465","359","525","480"
"Torbjørn","","","","","85","7 619","103","6 870"
"Tord","","","","","254","1 378","287","1 636"
"Tore","43","","","","24","17 632","28","15 743"
"Tor-Erik","","","","","520","289","711","276"
"Torfinn","","","","","279","1 204","349","1 067"
"Torgeir","","","","","147","3 539","177","3 337"
"Torger","37","","","","384","542","560","421"
"Torgrim","","","","","369","609","450","612"
"Torje","","","","","472","346","513","497"
"Torjus","","","","","361","636","363","975"
"Torkel","","","","","372","601","453","611"
"Torkil","","","","","503","308","615","353"
"Torkild","","","","","497","314","681","296"
"Torleif","","","","","229","1 644","339","1 159"
"Torleiv","","","","","373","599","565","415"
"Tormod","","","","","159","3 264","200","2 901"
"Torodd","","","","","554","254","790","230"
"Torolf","","","","","543","261","","< 200"
"Torstein","","","","","130","4 227","149","3 937"
"Torvald","","","","","437","407","647","322"
"Tosten","33","37","","","","< 200","","< 200"
"Tristan","","","","","","< 200","582","391"
"Tron","","","","","379","560","497","523"
"Trond","","","","","23","17 893","24","16 969"
"Troy","","","","","","< 200","682","296"
"Truls","","","","","164","3 015","183","3 116"
"Trygve","","","18","","97","6 502","126","5 150"
"Trym","","","","","224","1 697","178","3 329"
"Tønnes","","","","","592","209","","< 200"
"Ulf","","","","","179","2 530","237","2 265"
"Ulrik","","","","","299","1 054","213","2 667"
"Usman","","","","","","< 200","786","232"
"Vaidas","","","","","","< 200","717","271"
"Valentin","","","","","","< 200","740","252"
"Van","","","","","","< 200","737","257"
"Varg","","","","","","< 200","761","242"
"Vebjørn","","","","","254","1 378","269","1 808"
"Vegar","","","","","247","1 443","298","1 513"
"Vegard","","","","28","89","7 401","85","8 201"
"Vemund","","","","","357","650","357","1 020"
"Vetle","","","","","199","2 038","171","3 584"
"Victor","","","","","250","1 418","212","2 690"
"Vidar","","","","","64","9 721","69","9 212"
"Viggo","","","","","237","1 528","313","1 364"
"Viktor","","","","","264","1 316","226","2 447"
"Vilhelm","","","","","582","223","754","245"
"Viljar","","","","","506","304","338","1 162"
"Villy","","","","","379","560","571","407"
"Vincent","","","","","600","205","449","614"
"Vladimir","","","","","","< 200","532","475"
"Vytautas","","","","","","< 200","638","335"
"Waldemar","","","","","","< 200","466","582"
"Walid","","","","","","< 200","762","242"
"Walter","","","","","353","665","464","585"
"Werner","","","","","343","720","434","661"
"Widar","","","","","605","201","849","204"
"Wieslaw","","","","","","< 200","564","417"
"Wiggo","","","","","418","448","556","423"
"Wiktor","","","","","","< 200","629","339"
"Wilhelm","","","","","335","773","366","942"
"William","","","","","165","2 996","86","8 119"
"Willy","","","","","151","3 486","219","2 554"
"Wojciech","","","","","","< 200","342","1 139"
"Yahya","","","","","","< 200","829","211"
"Yasin","","","","","","< 200","610","356"
"Yngvar","","","","","301","1 041","386","839"
"Yngve","","","","","186","2 370","236","2 275"
"Yonas","","","","","","< 200","602","362"
"Yosef","","","","","","< 200","860","200"
"Yousef","","","","","","< 200","561","421"
"Youssef","","","","","","< 200","743","251"
"Yusuf","","","","","591","210","474","568"
"Zakaria","","","","","","< 200","648","322"
"Zbigniew","","","","","","< 200","376","902"
"Øistein","","","","","282","1 196","364","973"
"Øivind","","","","","126","4 440","167","3 634"
"Ørjan","","","","","153","3 467","168","3 603"
"Ørnulf","","","","","417","449","605","360"
"Øystein","","","","","48","11 505","53","10 894"
"Øyvin","","","","","596","207","","< 200"
"Øyvind","","","","","35","14 357","39","13 921"
"Ådne","","","","","326","841","351","1 044"
"Åge","","","","","125","4 744","152","3 872"
"Åsmund","","","","","198","2 040","255","2 053"